m1,m2,d1,d2
-1.09452350707188,1.0802250002114973,0.02072106365120375,0.07850851539736466
-1.1429726438805943,0.6569916961166062,0.020718946781981443,0.06381390920477374
-1.1968965325518193,0.5125345989782032,0.020718574816729923,0.05993042995139306
-1.256885007052038,0.43097869816336304,0.020719501918257024,0.05807563223981285
-1.3255918721522386,0.3762845965523511,0.020721063651203752,0.056984117181174465
-1.4147969213766634,0.3360574303708504,0.020720830922794926,0.05626438153953254
-1.4958858850394054,0.30469441773369177,0.02071937537986914,0.055754093440721235
-1.586057919250397,0.27923512809549517,0.0207186858249683,0.055373569480168305
-1.6863907284148307,0.257945578070362,0.020718521029933833,0.055079053876685755
-1.7981195073169687,0.23973247850325358,0.020718684167873494,0.05484450193112567
-1.9226669832512766,0.22386712683889945,0.020719022947621075,0.05465343554915318
-2.0616798440852815,0.20984223877631075,0.020719426781886548,0.05449491758986654
-2.217073047084408,0.19729208206628415,0.020719821730702033,0.054361402403220384
-2.39108394232503,0.18594526005116177,0.02072016408703042,0.05424751543403997
-2.586338722793034,0.1755954456198485,0.020720433457850972,0.05414932467932681
-2.8059344846653587,0.16608251352917303,0.0207206260691765,0.05406388718085914
-3.053541212189566,0.15727996462598365,0.020720748829305174,0.05398895655991403
-3.333529378919545,0.14908630132593162,0.020720814467074657,0.053922788592058825
-3.651130732827838,0.14141896477323204,0.020720837860455834,0.05386400847891491
-4.0126424038917605,0.134209979157089,0.020720833511193186,0.053811518132388374
-4.425688007968876,0.12740276221954605,0.020720814014561453,0.05376443007695361
-4.899554395757094,0.1209497493359878,0.020720789318791476,0.05372201943790421
-5.4456296886603175,0.11481059628821823,0.020720766556770517,0.05368368851066315
-6.077978265413225,0.1089508011944313,0.020720750250471747,0.053648940232825355
-6.814102865213333,0.10334063416745731,0.0207207427232422,0.05361735803035996
-7.675965213202396,0.09795429665686302,0.020720744595786475,0.05358859034041514
-8.69136817512876,0.09276925396932886,0.020720755280989503,0.05356233859554809
-9.895850136338163,0.0877657005551531,0.02072077342624815,0.05353834777927328
-11.335315414741437,0.08292612735051855,0.020720797277847546,0.05351639895102769
-13.069738671460357,0.07823496903798889,0.020720824960154594,0.0534963032839296
-15.178462872132181,0.07367831401782915,0.0207208546740277,0.05347789724729498
-17.7679052541655,0.06924366448168247,0.020720884825143143,0.05346103870784178
-20.982975821653334,0.06491973609415644,0.020720914095595094,0.053445603754682394
-25.024347681955543,0.060696289986740565,0.020720941472254898,0.053431484075784325
-30.175180680599,0.05656399074410392,0.02072096624411802,0.05341858479856232
-36.843540513166516,0.05251428571907813,0.020720987978933642,0.05340682270700445
-45.63169179656038,0.048539301693142946,0.020721006487288203,0.05339612473885712
-57.45303606256535,0.04463175586902975,0.02072102178031742,0.053386426735909084
-73.73694568543017,0.040784878987754535,0.020721034025502048,0.05337767240496223
-96.80335526532774,0.036992348024537096,0.02072104350360759,0.05336981242679061
-130.5832223482914,0.03324822716270827,0.02072105056876684,0.053362803713700196
-182.08968564023093,0.029546915775184836,0.0207210556129289,0.05335660879363617
-264.6474159003475,0.025883101893425835,0.020721059035371747,0.05335119527527995
-405.64338397490076,0.022251720600139215,0.02072106121762741,0.0533465354075106
-667.3617164714527,0.01864791611261704,0.020721062503966006,0.05334260572097321
-1212.0067712232333,0.015067007512311225,0.020721063187472532,0.05333938671621103
-2551.359624137854,0.011504456587572343,0.020721063501701196,0.05333686261679661
-6856.152232371825,0.00795583831879965,0.020721063617878326,0.05333502118264845
-29758.62131107039,0.004416812587445013,0.020721063647628612,0.0533338535510209
